tanggal,jumlah,keterangan,nama_akun,simpan_di_bank
2023-03-22 0:00,4338000,Realisasi Kaos,Persediaan Kaos,Bank Seabank
2023-03-01 0:00,6078000,Realisasi Kaos,Persediaan Kaos,Bank Seabank
2022-08-31 0:00,6606500,Realisasi Kaos,Persediaan Kaos,Bank Seabank
2022-08-22 0:00,9046000,Realisasi Kaos,Persediaan Kaos,Bank Seabank
2022-10-29 0:00,9197500,Realisasi Kaos,Persediaan Kaos,Bank Seabank
2022-08-06 0:00,9215000,Realisasi Kaos,Persediaan Kaos,Bank Seabank
2022-09-22 0:00,9967500,Realisasi Kaos,Persediaan Kaos,Bank Seabank
2022-07-22 0:00,10130000,Realisasi Kaos,Persediaan Kaos,Bank Seabank
2022-12-13 0:00,12027000,Realisasi Kaos,Persediaan Kaos,Bank Seabank
2023-01-30 0:00,12213000,Realisasi Kaos,Persediaan Kaos,Bank Seabank
2022-10-12 0:00,12864000,Realisasi Kaos,Persediaan Kaos,Bank Seabank
2022-11-29 0:00,17556000,Realisasi Kaos,Persediaan Kaos,Bank Seabank
2022-12-31 0:00,18814500,Realisasi Kaos,Persediaan Kaos,Bank Seabank
2022-12-23 0:00,19020500,Realisasi Kaos,Persediaan Kaos,Bank Seabank
2023-01-16 0:00,25508500,Realisasi Kaos,Persediaan Kaos,Bank Seabank
2023-03-22 0:00,33000,Laba Kaos,Pendapatan Kaos,Bank Seabank
2023-03-01 0:00,52000,Laba Kaos,Pendapatan Kaos,Bank Seabank
2022-08-31 0:00,144000,Laba Kaos,Pendapatan Kaos,Bank Seabank
2022-08-22 0:00,191000,Laba Kaos,Pendapatan Kaos,Bank Seabank
2022-10-29 0:00,90000,Laba Kaos,Pendapatan Kaos,Bank Seabank
2022-08-06 0:00,190000,Laba Kaos,Pendapatan Kaos,Bank Seabank
2022-09-22 0:00,210000,Laba Kaos,Pendapatan Kaos,Bank Seabank
2022-07-22 0:00,215000,Laba Kaos,Pendapatan Kaos,Bank Seabank
2022-12-13 0:00,279000,Laba Kaos,Pendapatan Kaos,Bank Seabank
2023-01-30 0:00,272000,Laba Kaos,Pendapatan Kaos,Bank Seabank
2022-10-12 0:00,390000,Laba Kaos,Pendapatan Kaos,Bank Seabank
2022-11-29 0:00,428000,Laba Kaos,Pendapatan Kaos,Bank Seabank
2022-12-31 0:00,416000,Laba Kaos,Pendapatan Kaos,Bank Seabank
2022-12-23 0:00,431000,Laba Kaos,Pendapatan Kaos,Bank Seabank
2023-01-16 0:00,693000,Laba Kaos,Pendapatan Kaos,Bank Seabank
