tanggal,jumlah,keterangan,nama_akun,ambil_dari_bank
2022-06-14 0:00,9073900,Beli Kaos,Persediaan Kaos,Bank Seabank
2022-06-28 0:00,4800000,Beli Kaos,Persediaan Kaos,Bank Seabank
2022-07-08 0:00,4800000,Beli Kaos,Persediaan Kaos,Bank Seabank
2022-07-11 0:00,5280000,Beli Kaos,Persediaan Kaos,Bank Seabank
2022-07-11 0:00,505000,Beli Kaos,Persediaan Kaos,Bank Seabank
2022-07-22 0:00,4800000,Beli Kaos,Persediaan Kaos,Bank Seabank
2022-08-01 0:00,3648000,Beli Kaos,Persediaan Kaos,Bank Seabank
2022-08-07 0:00,11588500,Beli Kaos,Persediaan Kaos,Bank Seabank
2022-08-13 0:00,4320000,Beli Kaos,Persediaan Kaos,Bank Seabank
2022-08-13 0:00,505000,Beli Kaos,Persediaan Kaos,Bank Seabank
2022-08-14 0:00,600000,Beli Kaos,Persediaan Kaos,Bank Seabank
2022-08-23 0:00,8150000,Beli Kaos,Persediaan Kaos,Bank Seabank
2022-08-22 0:00,7375000,Beli Kaos,Persediaan Kaos,Bank Seabank
2022-09-03 0:00,5400000,Beli Kaos,Persediaan Kaos,Bank Seabank
2022-09-26 0:00,10000000,Beli Kaos,Persediaan Kaos,Bank Seabank
2023-02-17 0:00,16000,Beli Kaos,Persediaan Kaos,Bank Seabank
2023-03-20 0:00,24000,Beli Kaos,Persediaan Kaos,Bank Seabank
2022-12-17 0:00,265000,Beli Kaos,Persediaan Kaos,Bank Seabank
2023-01-22 0:00,1550000,Beli Kaos,Persediaan Kaos,Bank Seabank
2022-12-15 0:00,2000000,Beli Kaos,Persediaan Kaos,Bank Seabank
2023-01-16 0:00,2180000,Beli Kaos,Persediaan Kaos,Bank Seabank
2023-01-08 0:00,2300000,Beli Kaos,Persediaan Kaos,Bank Seabank
2023-01-06 0:00,2500000,Beli Kaos,Persediaan Kaos,Bank Seabank
2022-12-09 0:00,2800000,Beli Kaos,Persediaan Kaos,Bank Seabank
2022-10-15 0:00,3170000,Beli Kaos,Persediaan Kaos,Bank Seabank
2022-12-01 0:00,3185000,Beli Kaos,Persediaan Kaos,Bank Seabank
2022-11-08 0:00,3565000,Beli Kaos,Persediaan Kaos,Bank Seabank
2023-01-05 0:00,4580000,Beli Kaos,Persediaan Kaos,Bank Seabank
2023-01-16 0:00,5000000,Beli Kaos,Persediaan Kaos,Bank Seabank
2022-11-03 0:00,5500000,Beli Kaos,Persediaan Kaos,Bank Seabank
2023-01-17 0:00,7720000,Beli Kaos,Persediaan Kaos,Bank Seabank
2022-12-24 0:00,9410000,Beli Kaos,Persediaan Kaos,Bank Seabank
2022-10-14 0:00,10000000,Beli Kaos,Persediaan Kaos,Bank Seabank
2022-11-29 0:00,10000000,Beli Kaos,Persediaan Kaos,Bank Seabank
2022-11-30 0:00,10000000,Beli Kaos,Persediaan Kaos,Bank Seabank
2022-12-14 0:00,10000000,Beli Kaos,Persediaan Kaos,Bank Seabank
2022-12-23 0:00,10000000,Beli Kaos,Persediaan Kaos,Bank Seabank
2022-12-31 0:00,10000000,Beli Kaos,Persediaan Kaos,Bank Seabank
2023-02-13 0:00,10000000,Beli Kaos,Persediaan Kaos,Bank Seabank
2023-03-14 0:00,10000000,Beli Kaos,Persediaan Kaos,Bank Seabank
